X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-73.12469,7.09953,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 5 CALLE 64,,,,,-1,0,-1,,
-73.124632,7.099408,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 5 CALLE 64,,,,,-1,0,-1,,
-73.124531,7.099343,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 5 CALLE 64,,,,,-1,0,-1,,
-73.124516,7.099604,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 5 CALLE 64,,,,,-1,0,-1,,
-73.122439,7.100795,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 8 CALLE 64,,,,,-1,0,-1,,
-73.122511,7.100847,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 8 CALLE 64,,,,,-1,0,-1,,
-73.122626,7.100812,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 8 CALLE 64,,,,,-1,0,-1,,
-73.12251,7.100634,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 8 CALLE 64,,,,,-1,0,-1,,
-73.122577,7.100695,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 8 CALLE 64,,,,,-1,0,-1,,
-73.1224,7.100692,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 8 CALLE 64,,,,,-1,0,-1,,
-73.120335,7.102873,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   AV. LOS BUCAROS CALLE 64,,,,,-1,0,-1,,
-73.120303,7.102943,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   AV. LOS BUCAROS CALLE 64,,,,,-1,0,-1,,
-73.120129,7.103016,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   AV. LOS BUCAROS CALLE 64,,,,,-1,0,-1,,
-73.120193,7.103053,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   AV. LOS BUCAROS CALLE 64,,,,,-1,0,-1,,
-73.120254,7.102825,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   AV. LOS BUCAROS CALLE 64,,,,,-1,0,-1,,
-73.12014,7.102769,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   AV. LOS BUCAROS CALLE 64,,,,,-1,0,-1,,
-73.118184,7.104428,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 17 CALLE 61,,,,,-1,0,-1,,
-73.118348,7.104366,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 17 CALLE 61,,,,,-1,0,-1,,
-73.116729,7.105002,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 17C CALLE 61,,,,,-1,0,-1,,
-73.116787,7.105165,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 17C CALLE 61,,,,,-1,0,-1,,
-73.116675,7.105209,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 17C CALLE 61,,,,,-1,0,-1,,
-73.116652,7.105184,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 17C CALLE 61,,,,,-1,0,-1,,
-73.115492,7.085376,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 22 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.115362,7.085363,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 22 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.115453,7.085266,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 22 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.115374,7.085262,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 22 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.115348,7.085448,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 22 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.115473,7.085279,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 22 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.113596,7.085433,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 23 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.1136,7.085332,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 23 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.113614,7.085252,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 23 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.113488,7.085421,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 23 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.11348,7.085324,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 23 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.113514,7.085431,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA 23 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.110707,7.086179,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 25 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.110626,7.086114,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 25 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.110581,7.086274,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 25 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.110536,7.086165,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 25 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.110658,7.086334,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 25 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.120956,7.083006,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 16 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.120715,7.083133,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 16 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.120767,7.083209,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 16 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.120893,7.083172,SEMAFORO,SEMAFORO    <br>       <br>   INTERSECCION   CRA. 16 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
