X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-73.133297,7.141051,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 3,,,,,-1,0,-1,,
-73.13272,7.139013,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 5,,,,,-1,0,-1,,
-73.131616,7.136559,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 9,,,,,-1,0,-1,,
-73.131548,7.117669,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 9 CALLE 34,,,,,-1,0,-1,,
-73.131086,7.116075,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 9 CALLE 37,,,,,-1,0,-1,,
-73.130899,7.134803,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 12,,,,,-1,0,-1,,
-73.130357,7.131913,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 15,,,,,-1,0,-1,,
-73.129944,7.113101,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 9 CALLE 44,,,,,-1,0,-1,,
-73.129662,7.112335,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 9 CALLE 45,,,,,-1,0,-1,,
-73.129345,7.126807,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 21,,,,,-1,0,-1,,
-73.129052,7.125236,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 B. SANTANDER,,,,,-1,0,-1,,
-73.128046,7.117456,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 13 CALLE  36,,,,,-1,0,-1,,
-73.127304,7.120177,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 33,,,,,-1,0,-1,,
-73.127223,7.117665,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 14 CALLE 36,,,,,-1,0,-1,,
-73.127117,7.113661,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 13 CALLE 45,,,,,-1,0,-1,,
-73.127037,7.128202,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 18 CALLE 20 (B. SANTANDER),,,,,-1,0,-1,,
-73.127022,7.132545,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 19 B. BOLÍVAR,,,,,-1,0,-1,,
-73.126974,7.11935,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 34,,,,,-1,0,-1,,
-73.126367,7.129204,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 19 B. SANTANDER,,,,,-1,0,-1,,
-73.126379,7.117857,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 36,,,,,-1,0,-1,,
-73.126138,7.117274,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 37,,,,,-1,0,-1,,
-73.125805,7.123649,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 18 AV. Q. SECA,,,,,-1,0,-1,,
-73.125739,7.116268,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 41,,,,,-1,0,-1,,
-73.125611,7.118153,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 16 CALLE 36,,,,,-1,0,-1,,
-73.125439,7.115531,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 42,,,,,-1,0,-1,,
-73.125061,7.114512,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 15 CALLE 45,,,,,-1,0,-1,,
-73.124896,7.118441,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17 CALLES 36,,,,,-1,0,-1,,
-73.124825,7.121169,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 18 CALLE 33,,,,,-1,0,-1,,
-73.124794,7.123639,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 19  AV. Q. SECA,,,,,-1,0,-1,,
-73.124572,7.099462,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 5 CALLE 64,,,,,-1,0,-1,,
-73.124234,7.114838,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 16 CALLE 45,,,,,-1,0,-1,,
-73.124244,7.119463,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 18 CALLE 35,,,,,-1,0,-1,,
-73.124008,7.118796,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 18 CALLE 36,,,,,-1,0,-1,,
-73.123643,7.120577,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 19 CALLE 34,,,,,-1,0,-1,,
-73.123979,7.130518,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 B. BOLÍVAR,,,,,-1,0,-1,,
-73.123727,7.117969,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 18 CALLE 37,,,,,-1,0,-1,,
-73.123338,7.124135,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21  AV. Q. SECA,,,,,-1,0,-1,,
-73.123099,7.119156,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 19 CALLE 36,,,,,-1,0,-1,,
-73.123005,7.115317,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17 CALLE 45,,,,,-1,0,-1,,
-73.122981,7.123261,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 31,,,,,-1,0,-1,,
-73.122679,7.112983,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   DIAG. 15 AV. ROSITA,,,,,-1,0,-1,,
-73.122513,7.100753,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 8 CALLE 64,,,,,-1,0,-1,,
-73.12213,7.121123,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 34,,,,,-1,0,-1,,
-73.121518,7.119602,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 36,,,,,-1,0,-1,,
-73.121068,7.113865,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 18 AV. ROSITA,,,,,-1,0,-1,,
-73.12098,7.120642,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 CALLE 35,,,,,-1,0,-1,,
-73.120844,7.083072,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 16 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.120683,7.119893,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 CALLE 36,,,,,-1,0,-1,,
-73.120605,7.110085,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17 CALLE 52,,,,,-1,0,-1,,
-73.120177,7.134536,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 14,,,,,-1,0,-1,,
-73.120214,7.102925,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   AV. LOS BUCAROS CALLE 64,,,,,-1,0,-1,,
-73.120081,7.094035,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   AUTOPISTA GIRON BARRIO SAN LUIS,,,,,-1,0,-1,,
-73.119966,7.108268,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17 CALLE 55,,,,,-1,0,-1,,
-73.119918,7.132219,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 17,,,,,-1,0,-1,,
-73.119896,7.116352,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 45,,,,,-1,0,-1,,
-73.119574,7.107088,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA.17 CALLE 56,,,,,-1,0,-1,,
-73.11955,7.117408,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 CALLE 41,,,,,-1,0,-1,,
-73.119493,7.129658,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 20,,,,,-1,0,-1,,
-73.119419,7.115258,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 AV. ROSITA,,,,,-1,0,-1,,
-73.119027,7.120468,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 24 CALLE 36,,,,,-1,0,-1,,
-73.118503,7.113213,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 50,,,,,-1,0,-1,,
-73.118409,7.117004,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 23 AV. ROSITA,,,,,-1,0,-1,,
-73.118109,7.108927,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17C CALLE 55,,,,,-1,0,-1,,
-73.117573,7.123968,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 33,,,,,-1,0,-1,,
-73.117605,7.109103,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   DIAG. 15 CALLE 55,,,,,-1,0,-1,,
-73.1171,7.12295,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 34,,,,,-1,0,-1,,
-73.116925,7.108549,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   DIAG. 15 CALLE 56,,,,,-1,0,-1,,
-73.116818,7.122175,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 35,,,,,-1,0,-1,,
-73.116794,7.12851,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 30 AV. Q. SECA,,,,,-1,0,-1,,
-73.116662,7.109467,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 55,,,,,-1,0,-1,,
-73.116563,7.121375,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 36,,,,,-1,0,-1,,
-73.116378,7.108792,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 56,,,,,-1,0,-1,,
-73.116188,7.123473,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 28 CALLE 34,,,,,-1,0,-1,,
-73.115982,7.11983,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 AV. ROSITA,,,,,-1,0,-1,,
-73.115957,7.114731,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   AV. G. VALENCIA CALLE 50,,,,,-1,0,-1,,
-73.11542,7.117798,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 45,,,,,-1,0,-1,,
-73.115314,7.121978,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 28 CALLE 36,,,,,-1,0,-1,,
-73.115275,7.11672,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 48,,,,,-1,0,-1,,
-73.115222,7.125284,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 30 CALLE 33,,,,,-1,0,-1,,
-73.114871,7.113589,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 AV. G. VALENCIA,,,,,-1,0,-1,,
-73.114558,7.111309,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 54,,,,,-1,0,-1,,
-73.11426,7.109046,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 56,,,,,-1,0,-1,,
-73.113544,7.085344,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA 23 CALLE 105 (PROVENZA),,,,,-1,0,-1,,
-73.113522,7.112185,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   AV. G. VALENCIA CALLE 54,,,,,-1,0,-1,,
-73.11337,7.102334,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 67,,,,,-1,0,-1,,
-73.113364,7.118349,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 28 CALLE 45,,,,,-1,0,-1,,
