-73.114128,7.098839; CODIGO SI 08 ;PARADERO DE BUSES
-73.114431,7.097975; CODIGO SI 08 ;PARADERO DE BUSES
-73.120475,7.093947; CODIGO SI 08 ;PARADERO DE BUSES
-73.119528,7.094047; CODIGO SI 08 ;PARADERO DE BUSES
-73.144508,7.084542; CODIGO SI 08 ;PARADERO DE BUSES
-73.133611,7.088694; CODIGO SI 08 ;PARADERO DE BUSES
-73.124053,7.092297; CODIGO SI 08 ;PARADERO DE BUSES
-73.134139,7.155042; CODIGO SI 08 ;PARADERO DE BUSES
-73.132467,7.15075,; CODIGO SI 08 ;PARADERO DE BUSES
-73.132475,7.150347; CODIGO SI 08 ;PARADERO DE BUSES
-73.134344,7.145231; CODIGO SI 08 ;PARADERO DE BUSES
-73.10976,7.122737,; CODIGO SI 08 ;PARADERO DE BUSES
-73.108323,7.114595,; CODIGO SI 08 ;PARADERO DE BUSES
-73.113305,7.123684,; CODIGO SI 08 ;PARADERO DE BUSES
-73.113589,7.128259,; CODIGO SI 08 ;PARADERO DE BUSES
-73.117448,7.123444,; CODIGO SI 08 ;PARADERO DE BUSES
-73.117128,7.123256,; CODIGO SI 08 ;PARADERO DE BUSES
-73.115833,7.121752,; CODIGO SI 08 ;PARADERO DE BUSES
-73.115818,7.121627,; CODIGO SI 08 ;PARADERO DE BUSES
-73.114847,7.114168,; CODIGO SI 08 ;PARADERO DE BUSES
-73.115218,7.115357,; CODIGO SI 08 ;PARADERO DE BUSES
-73.114498,7.10997,; CODIGO SI 08 ;PARADERO DE BUSES
-73.114278,7.10979,; CODIGO SI 08 ;PARADERO DE BUSES
-73.11455,7.108949,; CODIGO SI 08 ;PARADERO DE BUSES
-73.114237,7.107645,; CODIGO SI 08 ;PARADERO DE BUSES
-73.116019,7.120164,; CODIGO SI 08 ;PARADERO DE BUSES
-73.121911,7.12222,; CODIGO SI 08 ;PARADERO DE BUSES
-73.133964,7.109653,; CODIGO SI 08 ;PARADERO DE BUSES
-73.133986,7.109678,; CODIGO SI 08 ;PARADERO DE BUSES
-73.130836,7.111681,; CODIGO SI 08 ;PARADERO DE BUSES
-73.130819,7.111575,; CODIGO SI 08 ;PARADERO DE BUSES
-73.142639,7.101324,; CODIGO SI 08 ;PARADERO DE BUSES
-73.141844,7.101898,; CODIGO SI 08 ;PARADERO DE BUSES
