X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-73.113722,7.102094,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA,,,,,-1,0,-1,,
-73.113556,7.101983,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.113272,7.101094,SP 04,CODIGO SP 04 <br> NOMBRE CURVA PRONUNCIADA A LA DERECHA,,,,,-1,0,-1,,
-73.113211,7.100931,SP 47,CODIGO SP 47 <br> NOMBRE ZONA ESCOLAR,,,,,-1,0,-1,,
-73.113272,7.100428,SP 17,CODIGO SP 17 <br> NOMBRE BIFURCACION A LA DERECHA,,,,,-1,0,-1,,
-73.113203,7.099586,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA,,,,,-1,0,-1,,
-73.113172,7.099594,SP 47,CODIGO SP 47 <br> NOMBRE ZONA ESCOLAR,,,,,-1,0,-1,,
-73.113142,7.09955,SP 46,CODIGO SP 46 <br> NOMBRE ZONA DE PEATONES,,,,,-1,0,-1,,
-73.113167,7.099642,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDAD DE VEHICULOS DE CARGA,,,,,-1,0,-1,,
-73.114128,7.098839,SI 08,CÓDIGO: SI 08 <br> NOMBRE: PARADERO DE BUSES,,,,,-1,0,-1,,
-73.113928,7.098639,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.114431,7.097975,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.115172,7.097403,SP 04,CODIGO SP 04 <br> NOMBRE CURVA PRONUNCIADA A LA DERECHA,,,,,-1,0,-1,,
-73.115958,7.096514,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA,,,,,-1,0,-1,,
-73.116819,7.095786,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA,,,,,-1,0,-1,,
-73.117531,7.095306,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.118017,7.095064,SP 24,CODIGO SP 24 <br> NOMBRE SUPERFICIE RIZADA,,,,,-1,0,-1,,
-73.118772,7.094692,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA,,,,,-1,0,-1,,
-73.119156,7.094494,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.119444,7.094372,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.120475,7.093947,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.120214,7.093911,SR 10,CODIGO SR 10 <br> NOMBRE PROHIBIDO GIRAR EN U,,,,,-1,0,-1,,
-73.120117,7.093814,SR 18,CODIGO SR 18 <br> NOMBRE CIRCULACION PROHIBIDAD DE VEHICULOS DE CARGA,,,,,-1,0,-1,,
-73.119697,7.093886,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.119528,7.094047,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.119925,7.093883,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.119911,7.093883,SI 27,CODIGO SI 27 <br> NOMBRE SEGURIDAD VIAL,,,,,-1,0,-1,,
-73.123275,7.092781,SP 31,CODIGO SP 31 <br> NOMBRE REDUCCION DE CALZADA A LA DERECHA,,,,,-1,0,-1,,
-73.123678,7.092675,SP 17,CODIGO SP 17 <br> NOMBRE BIFURCACION A LA DERECHA,,,,,-1,0,-1,,
-73.123892,7.092569,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.124092,7.092586,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.124244,7.092589,SP 46,CODIGO SP 46 <br> NOMBRE ZONA DE PEATONES,,,,,-1,0,-1,,
-73.124456,7.092522,SI 27,CODIGO SI 27 <br> NOMBRE SEGURIDAD VIAL,,,,,-1,0,-1,,
-73.124281,7.0925,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.126425,7.091714,SR 10,CODIGO SR 10 <br> NOMBRE PROHIBIDO GIRAR EN U,,,,,-1,0,-1,,
-73.129819,7.090425,SP 04,CODIGO SP 04 <br> NOMBRE CURVA PRONUNCIADA A LA DERECHA,,,,,-1,0,-1,,
-73.130658,7.089742,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 40KM/H,,,,,-1,0,-1,,
-73.132186,7.089164,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.132658,7.08905,SP 07,CODIGO SP 07 <br> NOMBRE ZONA DE CURVAS SUCESIVAS LA PRIMERA A LA IZQUIERDA,,,,,-1,0,-1,,
-73.133064,7.089017,SI 30,CODIGO SI 30 <br> NOMBRE TRASPORTE MASIVO,,,,,-1,0,-1,,
-73.133528,7.088922,SR 02,CODIGO SR 02 <br> NOMBRE CEDA EL PASO,,,,,-1,0,-1,,
-73.1352,7.088206,SI 05D,CÓDIGO: SI 05D <br> NOMBRE: SEÑALES DE PRESEÑALIZACIÓN,,,,,-1,0,-1,,
-73.136411,7.0876,SR 02,CODIGO SR 02 <br> NOMBRE CEDA EL PASO,,,,,-1,0,-1,,
-73.140242,7.086103,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 40KM/H,,,,,-1,0,-1,,
-73.145108,7.084606,SI 27,CODIGO SI 27 <br> NOMBRE SEGURIDAD VIAL,,,,,-1,0,-1,,
-73.146514,7.084303,SI 05D,CÓDIGO: SI 05D <br>NOMBRE: SEÑALES DE PRESEÑALIZACIÓN  ,,,,,-1,0,-1,,
-73.147375,7.083994,SI 27,CODIGO SI 27 <br> NOMBRE SEGURIDAD VIAL,,,,,-1,0,-1,,
-73.147947,7.083772,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.147772,7.083817,SR 02,CODIGO SR 02 <br> NOMBRE CEDA EL PASO,,,,,-1,0,-1,,
-73.145636,7.084319,SI _E0,CODIGO SI _ E0<br> NOMBRE SEÑAL ELEVADA,,,,,-1,0,-1,,
-73.144508,7.084542,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.143242,7.084889,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA,,,,,-1,0,-1,,
-73.135336,7.087936,SI 05B,CÓDIGO SI: 05B <br> NOMBRE: FLECHA DE DESTINO DE SEÑALES DE GLORIETA,,,,,-1,0,-1,,
-73.133811,7.088617,SI _00,CODIGO SI _ 00<br> NOMBRE PICO Y PLACA,,,,,-1,0,-1,,
-73.133611,7.088694,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.128967,7.090694,SP 04,CODIGO SP 04 <br> NOMBRE CURVA PRONUNCIADA A LA DERECHA,,,,,-1,0,-1,,
-73.128364,7.091178,SR 01,CODIGO SR 01 <br> NOMBRE PARE,,,,,-1,0,-1,,
-73.128006,7.091325,SR 02,CODIGO SR 02 <br> NOMBRE CEDA EL PASO,,,,,-1,0,-1,,
-73.124053,7.092297,SI 08,CÓDIGO: SI 08 <br>NOMBRE: PARADERO DE BUSES ,,,,,-1,0,-1,,
-73.123458,7.092478,SR 30,CODIGO SR 30 <br> NOMBRE VELOCIDAD MAXIMA PERMITIDA 30KM/H,,,,,-1,0,-1,,
-73.122611,7.092786,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.122183,7.092939,SP 24,CODIGO SP 24 <br> NOMBRE SUPERFICIE RIZADA,,,,,-1,0,-1,,
-73.121772,7.093117,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.121375,7.093311,SP 10,CODIGO SP 10 <br> NOMBRE CURVA Y CONTRACURVA PRUNUNCIA PRIMERA A LA DERECHA,,,,,-1,0,-1,,
-73.120969,7.093494,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
-73.121031,7.0936,SP 23,CODIGO SP 23 <br> NOMBRE PROXIMIDAD DE SEMAFORO,,,,,-1,0,-1,,
